iter	Passed	Remaining
296	4145	9812
297	4151	9779
298	4162	9759
299	4175	9741
300	4186	9722
301	4218	9749
302	4237	9747
303	4244	9718
304	4248	9682
305	4260	9663
306	4296	9699
307	4304	9671
308	4319	9659
309	4347	9677
310	4361	9663
311	4366	9627
312	4371	9595
313	4380	9570
314	4386	9539
315	4391	9506
316	4397	9473
317	4406	9450
318	4412	9419
319	4420	9394
320	4426	9363
321	4435	9338
322	4440	9306
323	4446	9277
324	4450	9242
325	4455	9211
326	4463	9185
327	4467	9152
328	4475	9127
329	4479	9095
330	4485	9066
331	4496	9047
332	4510	9033
333	4523	9019
334	4528	8989
335	4537	8967
336	4543	8939
337	4551	8913
338	4555	8881
339	4561	8854
340	4566	8824
341	4572	8796
342	4580	8773
343	4584	8742
344	4591	8716
345	4597	8690
346	4602	8660
347	4609	8636
348	4613	8606
349	4618	8577
350	4627	8556
351	4631	8525
352	4637	8499
353	4644	8476
354	4655	8458
355	4660	8431
356	4669	8410
357	4684	8401
358	4700	8392
359	4709	8373
360	4718	8351
361	4721	8321
362	4726	8294
363	4734	8271
364	4737	8242
365	4742	8215
366	4750	8194
367	4755	8166
368	4763	8146
369	4769	8120
370	4776	8098
371	4781	8072
372	4788	8049
373	4795	8025
374	4802	8003
375	4807	7978
376	4812	7952
377	4818	7929
378	4826	7909
379	4837	7892
380	4843	7869
381	4856	7856
382	4875	7853
383	4890	7845
384	4897	7822
385	4906	7804
386	4910	7778
387	4917	7756
388	4921	7730
389	4930	7711
390	4933	7683
391	4937	7658
392	4944	7636
393	4947	7609
394	4953	7586
395	4959	7564
396	4962	7537
397	4967	7513
398	4974	7493
399	4978	7467
400	4983	7443
401	4990	7423
402	4994	7398
403	4998	7374
404	5005	7354
405	5009	7328
406	5013	7304
407	5021	7286
408	5024	7260
409	5030	7238
410	5037	7218
411	5040	7193
412	5044	7170
413	5051	7150
414	5059	7132
415	5069	7116
416	5075	7096
417	5084	7079
418	5088	7056
419	5096	7038
420	5100	7014
421	5105	6992
422	5112	6973
423	5117	6952
424	5124	6933
425	5128	6910
426	5133	6889
427	5140	6870
428	5143	6846
429	5149	6825
430	5156	6807
431	5159	6783
432	5165	6763
433	5173	6746
434	5177	6724
435	5183	6705
436	5189	6686
437	5194	6665
438	5202	6648
439	5206	6626
440	5214	6609
441	5221	6591
442	5226	6571
443	5235	6556
444	5246	6543
445	5258	6532
446	5270	6519
447	5279	6505
448	5283	6483
449	5290	6465
450	5297	6448
451	5302	6428
452	5311	6413
453	5314	6391
454	5321	6374
455	5328	6356
456	5332	6336
457	5341	6321
458	5345	6300
459	5354	6285
460	5357	6263
461	5361	6243
462	5371	6229
463	5375	6209
464	5383	6193
465	5388	6174
466	5395	6158
467	5402	6140
468	5409	6124
469	5417	6108
470	5426	6095
471	5441	6087
472	5456	6079
473	5467	6067
474	5473	6049
475	5479	6032
476	5482	6011
477	5488	5993
478	5495	5977
479	5498	5956
480	5504	5938
481	5510	5922
482	5514	5902
483	5519	5884
484	5525	5867
485	5529	5847
486	5535	5830
487	5540	5812
488	5544	5794
489	5553	5780
490	5556	5760
491	5563	5744
492	5569	5727
493	5572	5707
494	5578	5691
495	5584	5674
496	5587	5654
497	5593	5638
498	5599	5622
499	5602	5602
500	5613	5591
501	5624	5579
502	5631	5564
503	5638	5548
504	5647	5535
505	5653	5518
506	5658	5502
507	5661	5483
508	5667	5466
509	5672	5449
510	5677	5432
511	5680	5414
512	5686	5398
513	5692	5382
514	5696	5365
515	5702	5348
516	5706	5331
517	5709	5313
518	5715	5296
519	5722	5281
520	5724	5263
521	5730	5247
522	5737	5233
523	5742	5216
524	5751	5203
525	5755	5186
526	5763	5173
527	5770	5158
528	5779	5145
529	5783	5129
530	5788	5112
531	5801	5103
532	5813	5093
533	5824	5082
534	5838	5074
535	5845	5060
536	5854	5047
537	5860	5032
538	5867	5018
539	5875	5005
540	5883	4992
541	5888	4975
542	5893	4960
543	5901	4946
544	5904	4929
545	5911	4915
546	5918	4901
547	5923	4885
548	5932	4873
549	5936	4856
550	5943	4843
551	5951	4830
552	5957	4815
553	5964	4801
554	5969	4786
555	5979	4775
556	5987	4762
557	5997	4750
558	6008	4740
559	6016	4727
560	6028	4717
561	6036	4704
562	6042	4690
563	6048	4676
564	6056	4662
565	6060	4646
566	6067	4633
567	6071	4617
568	6078	4603
569	6086	4591
570	6094	4578
571	6105	4568
572	6115	4556
573	6124	4545
574	6134	4534
575	6140	4519
576	6149	4508
577	6155	4494
578	6168	4485
579	6180	4475
580	6196	4468
581	6202	4455
582	6210	4442
583	6216	4427
584	6225	4416
585	6228	4400
586	6236	4388
587	6242	4373
588	6252	4362
589	6257	4348
590	6273	4341
591	6283	4330
592	6290	4317
593	6298	4305
594	6304	4291
595	6311	4278
596	6318	4264
597	6325	4252
598	6332	4239
599	6337	4225
600	6347	4213
601	6350	4198
602	6360	4187
603	6369	4175
604	6389	4171
605	6401	4162
606	6408	4149
607	6413	4135
608	6422	4123
609	6425	4108
610	6437	4098
611	6441	4083
612	6449	4071
613	6454	4057
614	6460	4044
615	6466	4030
616	6470	4016
617	6478	4004
618	6481	3989
619	6484	3974
620	6487	3959
621	6490	3944
622	6494	3930
623	6500	3916
624	6505	3903
625	6510	3889
626	6517	3877
627	6526	3865
628	6529	3851
629	6535	3838
630	6540	3824
631	6543	3810
632	6550	3797
633	6555	3784
634	6558	3770
635	6564	3757
636	6570	3744
637	6573	3729
638	6579	3716
639	6585	3704
640	6588	3690
641	6594	3677
642	6599	3664
643	6603	3650
644	6609	3637
645	6615	3625
646	6618	3611
647	6624	3598
648	6637	3589
649	6649	3580
650	6656	3568
651	6664	3557
652	6671	3545
653	6678	3533
654	6683	3520
655	6693	3510
656	6698	3497
657	6705	3485
658	6708	3471
659	6713	3458
660	6721	3447
661	6724	3433
662	6729	3420
663	6738	3409
664	6741	3396
665	6747	3384
666	6754	3372
667	6757	3358
668	6765	3347
669	6770	3334
670	6775	3322
671	6783	3310
672	6786	3297
673	6792	3285
674	6799	3273
675	6802	3260
676	6809	3248
677	6815	3236
678	6824	3226
679	6843	3220
680	6854	3210
681	6862	3199
682	6866	3186
683	6869	3173
684	6873	3160
685	6876	3147
686	6880	3134
687	6885	3122
688	6891	3110
689	6897	3098
690	6907	3088
691	6913	3076
692	6922	3066
693	6929	3055
694	6940	3045
695	6945	3033
696	6957	3024
697	6967	3014
698	6974	3003
699	6985	2993
700	6991	2982
701	7000	2971
702	7004	2959
703	7017	2950
704	7027	2940
705	7034	2929
706	7043	2919
707	7053	2909
708	7062	2898
709	7066	2886
710	7072	2874
711	7078	2863
712	7082	2850
713	7088	2839
714	7094	2827
715	7099	2815
716	7107	2805
717	7112	2793
718	7120	2782
719	7124	2770
720	7129	2758
721	7136	2747
722	7140	2735
723	7146	2724
724	7151	2712
725	7156	2701
726	7164	2690
727	7168	2678
728	7173	2666
729	7181	2656
730	7185	2644
731	7195	2634
732	7204	2624
733	7214	2614
734	7224	2604
735	7230	2593
736	7237	2582
737	7244	2571
738	7250	2560
739	7257	2549
740	7261	2538
741	7266	2526
742	7273	2515
743	7280	2505
744	7288	2494
745	7292	2483
746	7299	2472
747	7305	2461
748	7310	2449
749	7316	2438
750	7320	2427
751	7325	2415
752	7334	2405
753	7337	2394
754	7344	2383
755	7350	2372
756	7355	2360
757	7362	2350
758	7366	2339
759	7371	2327
760	7380	2317
761	7384	2306
762	7391	2295
763	7400	2285
764	7410	2276
765	7416	2265
766	7426	2256
767	7433	2245
768	7441	2235
769	7445	2223
770	7453	2213
771	7458	2202
772	7464	2191
773	7471	2181
774	7475	2170
775	7482	2159
776	7488	2149
777	7492	2137
778	7499	2127
779	7510	2118
780	7518	2108
781	7521	2096
782	7527	2086
783	7534	2075
784	7538	2064
785	7545	2054
786	7550	2043
787	7555	2032
788	7564	2022
789	7568	2011
790	7575	2001
791	7580	1990
792	7585	1980
793	7596	1970
794	7603	1960
795	7612	1950
796	7622	1941
797	7628	1931
798	7634	1920
799	7640	1910
800	7644	1899
801	7654	1889
802	7659	1879
803	7667	1869
804	7674	1858
805	7683	1849
806	7689	1839
807	7697	1829
808	7704	1819
809	7710	1808
810	7719	1798
811	7725	1788
812	7734	1778
813	7739	1768
814	7749	1759
815	7754	1748
816	7763	1739
817	7767	1728
818	7777	1718
819	7787	1709
820	7803	1701
821	7813	1691
822	7819	1681
823	7826	1671
824	7830	1660
825	7838	1651
826	7843	1640
827	7850	1630
828	7858	1621
829	7864	1610
830	7872	1600
831	7876	1590
832	7883	1580
833	7889	1570
834	7895	1560
835	7902	1550
836	7906	1539
837	7912	1529
838	7918	1519
839	7922	1509
840	7928	1498
841	7934	1488
842	7939	1478
843	7947	1468
844	7951	1458
845	7955	1448
846	7966	1438
847	7971	1428
848	7982	1419
849	7993	1410
850	7999	1400
851	8009	1391
852	8013	1380
853	8020	1371
854	8027	1361
855	8033	1351
856	8040	1341
857	8044	1331
858	8050	1321
859	8056	1311
860	8059	1301
861	8067	1291
862	8072	1281
863	8079	1271
864	8086	1262
865	8090	1251
866	8097	1242
867	8103	1232
868	8110	1222
869	8118	1213
870	8124	1203
871	8131	1193
872	8136	1183
873	8141	1173
874	8148	1164
875	8158	1154
876	8167	1145
877	8175	1136
878	8184	1126
879	8196	1117
880	8201	1107
881	8211	1098
882	8215	1088
883	8224	1079
884	8228	1069
885	8233	1059
886	8241	1049
887	8245	1039
888	8252	1030
889	8257	1020
890	8263	1010
891	8269	1001
892	8273	991
893	8280	981
894	8286	972
895	8293	962
896	8300	953
897	8304	943
898	8311	933
899	8317	924
900	8322	914
901	8330	905
902	8335	895
903	8342	885
904	8349	876
905	8358	867
906	8368	858
907	8378	848
908	8384	839
909	8392	830
910	8396	820
911	8403	810
912	8410	801
913	8414	791
914	8422	782
915	8426	772
916	8435	763
917	8440	753
918	8449	744
919	8456	735
920	8463	725
921	8469	716
922	8476	707
923	8485	697
924	8494	688
925	8501	679
926	8507	669
927	8515	660
928	8522	651
929	8530	642
930	8540	632
931	8552	623
932	8566	615
933	8578	606
934	8584	596
935	8594	587
936	8598	578
937	8608	568
938	8612	559
939	8623	550
940	8628	540
941	8635	531
942	8640	522
943	8645	512
944	8653	503
945	8657	494
946	8669	485
947	8672	475
948	8680	466
949	8686	457
950	8692	447
951	8699	438
952	8702	429
953	8708	419
954	8715	410
955	8723	401
956	8731	392
957	8736	383
958	8743	373
959	8748	364
960	8754	355
961	8760	346
962	8766	336
963	8775	327
964	8780	318
965	8787	309
966	8791	300
967	8796	290
968	8805	281
969	8808	272
970	8815	263
971	8821	254
972	8826	244
973	8835	235
974	8839	226
975	8847	217
976	8852	208
977	8859	199
978	8866	190
979	8870	181
980	8882	172
981	8889	162
982	8897	153
983	8902	144
984	8908	135
985	8913	126
986	8923	117
987	8933	108
988	8941	99
989	8949	90
990	8959	81
991	8964	72
992	8972	63
993	8976	54
994	8981	45
995	8990	36
996	8993	27
997	9000	18
998	9005	9
999	9010	0
