iter	RMSE
228	0.6338566179
229	0.6335556935
230	0.633403438
231	0.6332869071
232	0.6331105723
233	0.6329223234
234	0.6327009137
235	0.6324403757
236	0.6322492546
237	0.6319784384
238	0.6317382505
239	0.631630498
240	0.6313506389
241	0.6310744737
242	0.6307205138
243	0.6304655456
244	0.6303658062
245	0.6301228131
246	0.6299767208
247	0.62975556
248	0.6296788288
249	0.6295759838
250	0.6294342385
251	0.6292141337
252	0.6289646302
253	0.6288939563
254	0.6288004474
255	0.6286240589
256	0.6284715226
257	0.6282764214
258	0.6280038192
259	0.627780502
260	0.6273822641
261	0.6272515602
262	0.6270893896
263	0.6267587845
264	0.626632803
265	0.6262723115
266	0.6260871415
267	0.6258377711
268	0.6257208735
269	0.6256037574
270	0.6252965967
271	0.6251194364
272	0.6248297455
273	0.6247481871
274	0.6245521957
275	0.6244353904
276	0.624265673
277	0.6241223218
278	0.623801207
279	0.6235001565
280	0.6233473828
281	0.6231484967
282	0.6230176039
283	0.6227562841
284	0.6225497063
285	0.6224803073
286	0.6222982428
287	0.6221803
288	0.6219576432
289	0.6216667661
290	0.6214903883
291	0.6212987308
292	0.6210411652
293	0.6207687889
294	0.6205047742
295	0.6202574472
296	0.6200961383
297	0.6200524998
298	0.6198623208
299	0.6197983818
300	0.6196461936
301	0.6195894273
302	0.6194225492
303	0.6191878599
304	0.6191249934
305	0.6189633111
306	0.6188360532
307	0.6186302106
308	0.6184900275
309	0.6183176731
310	0.6182598324
311	0.6181126234
312	0.6179160876
313	0.6177530721
314	0.6177149539
315	0.6176519463
316	0.6174302295
317	0.6172181178
318	0.6170843322
319	0.6169366367
320	0.6168030736
321	0.6166599658
322	0.6165883378
323	0.6164568969
324	0.6164130618
325	0.616302824
326	0.6161738945
327	0.6160185541
328	0.6158109686
329	0.6156234232
330	0.6155008677
331	0.6153789225
332	0.6151857266
333	0.6150380529
334	0.6149272998
335	0.6147898818
336	0.6146732522
337	0.614621513
338	0.6145282576
339	0.6143048564
340	0.6142635466
341	0.6138633074
342	0.6137344045
343	0.6136163464
344	0.6134860641
345	0.6133669891
346	0.6132591922
347	0.6131766783
348	0.6130670185
349	0.6129551297
350	0.6128016764
351	0.6127259303
352	0.6125418505
353	0.6123663015
354	0.6120069243
355	0.6118910582
356	0.6118534604
357	0.6116961255
358	0.6115616507
359	0.6114074505
360	0.6110841792
361	0.6110307381
362	0.6109145589
363	0.6108478079
364	0.6106397999
365	0.6104693777
366	0.6103126347
367	0.6102070408
368	0.610112832
369	0.6099427398
370	0.6098670862
371	0.6097715652
372	0.6097370856
373	0.6096044869
374	0.6094806419
375	0.6091860286
376	0.6091368202
377	0.609103398
378	0.6089675113
379	0.6088166427
380	0.6086738011
381	0.6085867361
382	0.608316945
383	0.6082481447
384	0.6081741099
385	0.6080916402
386	0.6080094021
387	0.6078494228
388	0.6076781996
389	0.6074374257
390	0.6073935515
391	0.6073116908
392	0.6072117638
393	0.6071554019
394	0.6070341851
395	0.6068895444
396	0.6068178451
397	0.6067262695
398	0.6066494922
399	0.6065738995
400	0.6064553832
401	0.6063525875
402	0.6062882688
403	0.6062181873
404	0.6061252954
405	0.606074393
406	0.6060078728
407	0.6059027103
408	0.6056610564
409	0.6056163979
410	0.6054033293
411	0.6053322504
412	0.6052936187
413	0.6052307661
414	0.6051727645
415	0.6051456905
416	0.6050812687
417	0.6049390588
418	0.6049135881
419	0.6048776242
420	0.6047480137
421	0.6046467571
422	0.6045226317
423	0.6043728794
424	0.604261182
425	0.6041967815
426	0.6041414401
427	0.6040769903
428	0.603967251
429	0.6038742848
430	0.6037744414
431	0.6037401497
432	0.6036682422
433	0.6036096178
434	0.6035196009
435	0.60344431
436	0.6034207809
437	0.6032320344
438	0.6031065027
439	0.6030532316
440	0.6029994192
441	0.6029344416
442	0.6028414203
443	0.6027391254
444	0.6025678118
445	0.6025098341
446	0.6023393837
447	0.6022561286
448	0.6021802115
449	0.602092927
450	0.6020118817
451	0.6018706415
452	0.6017968014
453	0.6016595431
454	0.6015561084
455	0.6015029247
456	0.6014202027
457	0.6013682884
458	0.6012713418
459	0.6012264302
460	0.6011815866
461	0.6009674765
462	0.6008436382
463	0.600789416
464	0.600762009
465	0.6006799801
466	0.6006056284
467	0.600549928
468	0.6004478843
469	0.6004016294
470	0.600203137
471	0.6000046972
472	0.5998967955
473	0.599857314
474	0.5997406779
475	0.5996699941
476	0.5995971467
477	0.5995019987
478	0.5993127085
479	0.59926423
480	0.5991489864
481	0.5991169894
482	0.5990961648
483	0.5990286419
484	0.5989674431
485	0.5989203335
486	0.5988534575
487	0.5987038339
488	0.5986697181
489	0.5986269733
490	0.5984811279
491	0.5984096324
492	0.5983497014
493	0.5982731205
494	0.598186336
495	0.5980049152
496	0.5979118453
497	0.5978130982
498	0.5975939492
499	0.5974547756
500	0.5973856549
501	0.5973135584
502	0.5972640285
503	0.5972266669
504	0.5971845922
505	0.5971482124
506	0.5971183531
507	0.5970900886
508	0.5970104
509	0.596843267
510	0.5967871844
511	0.5967146808
512	0.5966396467
513	0.5965934893
514	0.5965253082
515	0.5964249573
516	0.5963604572
517	0.5962257814
518	0.5961860121
519	0.5961230016
520	0.5960668839
521	0.5959730013
522	0.5957769161
523	0.595746861
524	0.5957252462
525	0.5956531186
526	0.5955535912
527	0.59551582
528	0.5954829678
529	0.5953597664
530	0.5953389645
531	0.5952564044
532	0.5951657604
533	0.5951060348
534	0.5949939539
535	0.5949427527
536	0.5948499831
537	0.5947562127
538	0.5947125306
539	0.5945632416
540	0.594535925
541	0.5944770727
542	0.5943321152
543	0.5942976634
544	0.5942317916
545	0.594198862
546	0.5941729691
547	0.594119805
548	0.594041321
549	0.5939719644
550	0.5939417617
551	0.5939135468
552	0.5938299458
553	0.5936924841
554	0.5935845185
555	0.5935572363
556	0.5935386516
557	0.5934393909
558	0.5933652095
559	0.5933169765
560	0.5932140859
561	0.5931528921
562	0.5931220734
563	0.5930944663
564	0.5930774916
565	0.5930475226
566	0.5929184531
567	0.5928793036
568	0.5927415368
569	0.5926128645
570	0.5925358482
571	0.5925132725
572	0.59244828
573	0.5923669664
574	0.5923143633
575	0.5922899823
576	0.5922478459
577	0.5921526436
578	0.5921085662
579	0.5920168604
580	0.5919573231
581	0.5918740153
582	0.5918304085
583	0.5917031651
584	0.591688644
585	0.5915742647
586	0.5914685204
587	0.5913849956
588	0.5913292311
589	0.5912824591
590	0.5912412277
591	0.5910654981
592	0.5909981084
593	0.5908778459
594	0.5908134158
595	0.5907456291
596	0.5907102777
597	0.5906937548
598	0.5906676651
599	0.5906124169
600	0.5905009504
601	0.5904448396
602	0.5903608189
603	0.5901481967
604	0.5900773882
605	0.5900560777
606	0.5900338712
607	0.5900036004
608	0.5899419302
609	0.5899024569
610	0.5898302455
611	0.5897676447
612	0.589685753
613	0.5896089467
614	0.5895879628
615	0.5895396452
616	0.5894685995
617	0.5894303268
618	0.5893967404
619	0.5893336862
620	0.5892757867
621	0.5891498726
622	0.5891240875
623	0.5890680392
624	0.5890334216
625	0.588998739
626	0.5889050863
627	0.5888476288
628	0.5887355551
629	0.5887079862
630	0.588634712
631	0.5885997245
632	0.588544465
633	0.5884402216
634	0.5883662993
635	0.5883286854
636	0.5882634069
637	0.5881940616
638	0.5881808217
639	0.5881308395
640	0.5880801496
641	0.5880205823
642	0.5879840979
643	0.587882411
644	0.587827606
645	0.5877380853
646	0.5877061625
647	0.5876866431
648	0.587585884
649	0.5874920289
650	0.5874422963
651	0.5874063559
652	0.5873881996
653	0.5872920072
654	0.5872397451
655	0.5871733116
656	0.5869846875
657	0.5869688854
658	0.5869183196
659	0.5868864012
660	0.5868504171
661	0.5867770374
662	0.5867123474
663	0.5866825693
664	0.5865809998
665	0.5865535819
666	0.5864735947
667	0.5864013557
668	0.5863416793
669	0.5863105736
670	0.5862673446
671	0.5862024315
672	0.5861740746
673	0.5860877836
674	0.5860525095
675	0.5860096592
676	0.5859518145
677	0.5859349828
678	0.585867154
679	0.5858308815
680	0.5858026018
681	0.5857738271
682	0.5857545747
683	0.5857003642
684	0.5856694318
685	0.5856198663
686	0.5855468288
687	0.5855260328
688	0.5853565688
689	0.5853096323
690	0.5852639664
691	0.5851102085
692	0.5850698686
693	0.5850114725
694	0.5849640882
695	0.5849449304
696	0.5848792931
697	0.5848278833
698	0.5847675212
699	0.5846985953
700	0.5846371186
701	0.5845557614
702	0.5845334874
703	0.5844908101
704	0.5844511601
705	0.5844153518
706	0.5843534519
707	0.5843004541
708	0.5842874834
709	0.5842547602
710	0.5842359761
711	0.5842045147
712	0.584175446
713	0.5841368184
714	0.5841052128
715	0.5840870295
716	0.5840421044
717	0.5839992008
718	0.5839049559
719	0.5838695101
720	0.583799702
721	0.5837453905
722	0.583706375
723	0.5836763176
724	0.5836356532
725	0.5836193717
726	0.5835605957
727	0.5835237599
728	0.5834363393
729	0.5833711076
730	0.5832990568
731	0.5832781529
732	0.583260994
733	0.5832005471
734	0.5831207681
735	0.5830924567
736	0.5830789405
737	0.5830260065
738	0.5830029025
739	0.582960126
740	0.5829312397
741	0.5828775675
742	0.582772296
743	0.5827470576
744	0.5826826219
745	0.5826591004
746	0.5826471702
747	0.5825921339
748	0.5824756755
749	0.5824303462
750	0.5823631921
751	0.5823220217
752	0.5822684727
753	0.5822064288
754	0.5821589884
755	0.5821261918
756	0.5821096281
757	0.5820868762
758	0.5820715024
759	0.5820486766
760	0.5820288517
761	0.5820114479
762	0.5819672598
763	0.5819273676
764	0.5819081996
765	0.5818782158
766	0.5818323647
767	0.5818051792
768	0.5817541156
769	0.5817323876
770	0.5816588944
771	0.5816271656
772	0.5815803452
773	0.5814458792
774	0.5814189263
775	0.5813977974
776	0.5813765993
777	0.5813102759
778	0.5812834073
779	0.5812331301
780	0.5811789397
781	0.5811609563
782	0.581136366
783	0.581111845
784	0.5810635971
785	0.5810140299
786	0.5809652147
787	0.5809464856
788	0.5809086024
789	0.5808966335
790	0.5808019491
791	0.5806967485
792	0.5806789507
793	0.5806523658
794	0.5806086475
795	0.5805505132
796	0.5805004742
797	0.5804876619
798	0.5804084444
799	0.5803899654
800	0.5803678457
801	0.5803109097
802	0.5802977278
803	0.5801906628
804	0.5801530221
805	0.5801358858
806	0.5800784884
807	0.5799661723
808	0.5798979429
809	0.5798824083
810	0.5798674795
811	0.57976536
812	0.5797234015
813	0.5796991791
814	0.5796772225
815	0.5796417591
816	0.5796309457
817	0.5796114491
818	0.5796016514
819	0.5795738919
820	0.5795650756
821	0.5795253532
822	0.5794996169
823	0.5794738492
824	0.5794210222
825	0.5793743334
826	0.5793592572
827	0.5793258198
828	0.5792974295
829	0.5792808253
830	0.57923485
831	0.5791931238
832	0.579155388
833	0.5790972237
834	0.5790656963
835	0.5790133613
836	0.578995738
837	0.578962486
838	0.5789199202
839	0.5788695046
840	0.5788542449
841	0.5788022737
842	0.5787622644
843	0.5787331486
844	0.5787241302
845	0.5787101707
846	0.5786695929
847	0.5786531691
848	0.5786288548
849	0.5785868019
850	0.578573366
851	0.5785514745
852	0.5785290373
853	0.5785007689
854	0.5784797794
855	0.5784638957
856	0.5784229745
857	0.5784068366
858	0.5783831172
859	0.5783673642
860	0.5783465363
861	0.5783297009
862	0.578300771
863	0.5782871125
864	0.578253855
865	0.5782322683
866	0.5782127199
867	0.5782048466
868	0.5781917051
869	0.5781103852
870	0.5780934074
871	0.5780536357
872	0.5780358711
873	0.5780241981
874	0.5779790834
875	0.5779238673
876	0.5778873898
877	0.5778523219
878	0.5778129711
879	0.5777716055
880	0.577687914
881	0.5776732586
882	0.5776026817
883	0.5775662855
884	0.5775500914
885	0.5774770786
886	0.5773873545
887	0.5772987043
888	0.5772845688
889	0.5772693201
890	0.5771989781
891	0.5771874766
892	0.577124927
893	0.5770938748
894	0.5770192705
895	0.5769756075
896	0.5769482153
897	0.5769409187
898	0.5768692866
899	0.5767361456
900	0.5767002158
901	0.5766736593
902	0.5766237337
903	0.5765854248
904	0.5765725941
905	0.5765507709
906	0.5764862847
907	0.5764736196
908	0.5764282364
909	0.5763811791
910	0.5763473522
911	0.5763065218
912	0.5762822801
913	0.576262852
914	0.5762361852
915	0.576223087
916	0.5762093846
917	0.5761820189
918	0.5761664365
919	0.5761517044
920	0.5761451382
921	0.5761238868
922	0.5760956641
923	0.5760813865
924	0.5760349233
925	0.5759729953
926	0.5759574511
927	0.5758913669
928	0.5758622388
929	0.5758441405
930	0.575819976
931	0.5757830358
932	0.5757715529
933	0.5757587796
934	0.5757095161
935	0.5756698384
936	0.5756554028
937	0.5756475673
938	0.5756118498
939	0.5755717972
940	0.5755128588
941	0.5754248567
942	0.5753977606
943	0.5753596907
944	0.5753305414
945	0.5753013159
946	0.5751813688
947	0.5751744141
948	0.5750971948
949	0.5750831383
950	0.5750598767
951	0.5750461833
952	0.5750356524
953	0.5749989044
954	0.57498642
955	0.5749290645
956	0.5749009562
957	0.5748941946
958	0.5748660432
959	0.5748324916
960	0.5748205367
961	0.574755668
962	0.5747050539
963	0.574671181
964	0.5746409517
965	0.5746320956
966	0.5746044936
967	0.5745938916
968	0.5745368969
969	0.5745260416
970	0.5744873951
971	0.5744654292
972	0.5744455922
973	0.5744181321
974	0.5743288869
975	0.5742983918
976	0.5742592832
977	0.5742304769
978	0.5742048295
979	0.5741879577
980	0.5741661125
981	0.5741347777
982	0.574099189
983	0.5740393812
984	0.5740293338
985	0.5740126526
986	0.5739926259
987	0.5739515406
988	0.5739302479
989	0.5739179172
990	0.5738649703
991	0.5738328636
992	0.5738081555
993	0.5737380866
994	0.5736981607
995	0.5736927378
996	0.5736810355
997	0.5736691606
998	0.5736404078
999	0.5736243751
